blockNumber,answer,totalSupply,diff
22577050,8997609585901749961126529,8997450261008341341985443,159324893408619141086
22578875,8997847883850491540855707,8997721769284852937220078,126114565638603635629
22580700,8998340878654112575892121,8999738063103949683313556,-1397184449837107421435
22582525,8995064164059246041771145,8995938106216914067736596,-873942157668025965451
22584350,8988993395485453305563969,8996657321693990357425465,-7663926208537051861496
22586175,8985972255787339558159657,8997228411773738256689292,-11256155986398698529635
22588000,8983715909365078017910301,8997737037204134245048458,-14021127839056227138157
22589825,8980738008519527251765234,8980822989150670128647119,-84980631142876881885
22591650,8974953064296541241498251,8981089372445300320973767,-6136308148759079475516
22593475,8975151026388007186962842,8982028573581939356576372,-6877547193932169613530
22595300,8976604317678621679472525,8983474025756249507814244,-6869708077627828341719
22597125,8976241819187163290404634,8976639973895999819108400,-398154708836528703766
22598950,8980669852155458291550657,8980957625631255814072106,-287773475797522521449
22600775,8980604797376258788685731,8981363461273588349987683,-758663897329561301952
22602600,8983056764838085749700654,8985962272101314873025274,-2905507263229123324620
22604425,8972778817813842970686912,8974851424370755723845507,-2072606556912753158595
22606250,8972171409074244671365724,8975065947714895025155221,-2894538640650353789497
22608075,8968856346965817876558749,8977711578145503292651326,-8855231179685416092577
22609900,8969158922294156079382072,8965594392244137764242300,3564530050018315139772
22611725,8965644064281015301369169,8966238300807607377518465,-594236526592076149296
22613550,8966256313983170754149034,8966899766239883387363061,-643452256712633214027
22615375,8967027028036063885030955,8967132179229011400273439,-105151192947515242484
22617200,8967504084692410778126973,8967058296385604700961549,445788306806077165424
22619025,8970095499660511271846899,8976067922986994476830267,-5972423326483204983368
22620850,8973096726068441476830267,8976332639099173506113236,-3235913030732029282969
22622675,8971829962627851196684638,8977931667773570478300939,-6101705145719281616301
22624500,8973280027333479478300939,8961046625913544023575006,12233401419935454725933
22626325,8961387589691288025736614,8971119294443359730708971,-9731704752071704972357
22628150,8971302322914603806189018,8971476004394182340044291,-173681479578533855273
22629975,8972472563163643522864059,8972119527594154522864059,353035569489000000000
22631800,8961324043946670793115590,8961305321943461823701015,18722003208969414575
22633625,8962972613217708557053336,8963048773219039117491527,-76160001330560438191
22635450,8965719476193790501018060,8965374689110820403641023,344787082970097377037
22637275,8966110504966204983713784,8965643704153219088461447,466800812985895252337
22639100,8966767100117174604566642,8969327646605791466325778,-2560546488616861759136
22640925,8970496165091922234492593,8970401422183414552996048,94742908507681496545
22642750,8973022567473753997071602,8972738396358157546767291,284171115596450304311
22644575,8973592655394661885803924,8973337014461562779987827,255640933099105816097
22646400,8964291445916639248752857,8964297002393366158783169,-5556476726910030312
22648225,8965673197395219670634020,8967338185572943768249824,-1664988177724097615804
22650050,8962371369821115548781969,8969621555536913006397896,-7250185715797457615927
22651875,8958870110166623387424302,8970464439280072268611549,-11594329113448881187247
22653700,8965509836629507051949138,8969201957309213999881535,-3692120679706947932397
22655525,8966446446912378759425865,8969990264646350061110895,-3543817733971301685030
22657350,8962219402413338985774728,8970076500698406622414541,-7857098285067636639813
22659175,8963048294883356518580000,8971974136751773456518457,-8925841868416937938457
22661000,8967066995194406315632419,8969028836729167483653851,-1961841534761168021432
22662825,8967308879404731759204074,8969798776788134324324324,-2489897383402565120250
22664650,8954923408743729097654943,8970131973942044498950114,-15208565198315401295171
22666475,8954517301544583432435891,8970588859498623659996034,-16071557954040227560143
22668300,8962445070648418015694069,8978382122404687710658928,-15937051756269694964859
22670125,8968637171189828725680248,8985245978723265775096208,-16608807533437049415960
22671950,8966884049574695515249481,9006796767068871739820712,-39912717494176224571231
22673775,8987079099415452629167768,9014377093469764526004121,-27297994054311896836353
22675600,8990229949690444745649851,9017318173554080518266680,-27088223863635772616829
22677425,8994262061526515287348597,9023073070317696767460319,-28811008791181480111722
22679250,8989881337970019794456796,9023853872230810953527923,-33972534260791159071127
22681075,8985592731469128230110929,9025783856530476105750777,-40191125061347875639848
22682900,8989840496373666889798326,9050149899183399993266910,-60309402809733103468584
22684725,8985417348310952687670313,9050920334387272858428830,-65502986076320170758517
22686550,8981571860781402846550048,9053493495490925899416761,-71921634709523052866713
22688375,8981200697613264563380125,9054634449565491804071424,-73433751952227240691299
22690200,8972038757480029582009839,9048574520343235495416998,-76535762863205913407159
22692025,8974540870686981459308403,9061272291420701120020796,-86731420733719660712393
22693850,8995986048837447888479101,9102206221256866404296104,-106220172419418515817003
22695675,9002574224976676912285567,9074509972290587345422432,-71935747313910433136865
22697500,8986948934494395859491909,9075599546027857443801548,-88650611533461584309639
22699325,8988451234442966736846607,9080936575731690612165079,-92485341288723875318472
22701150,8992952557931234931880718,9081591933033091127450797,-88639375101856195570079
22702975,8972791070379530981416569,9079910681997563330405611,-107119611618032348989042
22704800,8981650476343602072972337,9088631862691717368500342,-106981386348115295528005
22706625,8982857640578271164577240,9088834894053580164577240,-105977253475309000000000
22708450,8982809825549592044009477,9088934878907013692589743,-106125053357421648580266
22710275,8977457492736238669992974,9087002501661035292427398,-109545008924796622434424
22712100,8983483312344148504408475,9088523997472340831637064,-105040685128192327228589
22713925,8980726317272395449149040,9089218062166346199159876,-108491744893950750010836
22715750,8988591339345349903194767,9094952665688472197629803,-106361326343122294435036
22717575,9009426141069973172774219,9095253538004755600545340,-85827396934782427771121
22719400,9013090492579895852465830,9099372616247826686309315,-86282123667930833843485
22721225,9021465884364384543715011,9099686958298737359583331,-78221073934352815868320
22723050,9020592694445769217559315,9102073176919014676419121,-81480482473245458859806
22724875,9030904855720443339012956,9099655480419544749230006,-68750624699101410217050
22726700,9048322598088412188872321,9116099335672038254258949,-67776737583626065386628
22728525,9060285705406069314729023,9117030131566351600920794,-56744426160282286191771
22730350,9057581284052850309331153,9118120096118968973291345,-60538812066118663960192
22732175,9055607796703032964586322,9116098023907845985356833,-60490227204813020770511
22734000,9054497397045828637146035,9116431214702666650078814,-61933817656838012932779
22735825,9053543232628058065385560,9124074992138792722853321,-70531759510734657467761
22737650,9057865815250728188780888,9124229851891488877836577,-66364036640760689055689
22739475,9059628909784296087084355,9122365808612921721033146,-62736898828625633948791
22741300,9062797889014502553187984,9123643613418800067515166,-60845724404297514327182
22743125,9064814773510523375649060,9126379394977480192427843,-61564621466956816778783
22744950,9065149920096598254531998,9126702694854071007001177,-61552774757472752469179
22746775,9062864453480621496954863,9123680153812329612277701,-60815700331708115322838
22748600,9081855301764603661923017,9156242601320627550934182,-74387299556023889011165
22750425,9088151088864067646702115,9156662912862784138779877,-68511823998716492077762
22752250,9089917619324252288195094,9157024377099903923782084,-67106757775651635586990
22754075,9081906786669891643169235,9151856626435073470065190,-69949839765181826895955
22755900,9084552300787786233303889,9156707906847156515385449,-72155606059370282081560
22757725,9096475756961234975151174,9169991085800164654432400,-73515328838929679281226
22759550,9087849074274351248047163,9170392104911405137368629,-82543030637053889321466
22761375,9065162694012580964777469,9154514001501867243550679,-89351307489286278773210
22763200,9076397398161221637876550,9154742719344600876066479,-78345321183379238189929
22765025,9076695550691903317649244,9155888810967137499846954,-79193260275234182197710
22766850,9078269866088065251504126,9159567823367041180196057,-81297957278975928691931
22768675,9076652002575169725084856,9159416922551648607042903,-82764919976478881958047
22770500,9081266758571800116556414,9160073833252223282304769,-78807074680423165748355
22772325,9082019220092291873643356,9160279839646892313073092,-78260619554600439429736
22774150,9086706160876683854605074,9160624470685585525625365,-73918309808901671020291
22775975,9083144960663599317735305,9151398828470409604871625,-68253867806810287136320
22777800,9085599568917637747335044,9151727183309637851997778,-66127614392000104662734
