blockNumber,answer,totalSupply,diff
22646400,2723925735059499602153064,2760470237028070755918730,-36544501968571153765666
22648225,2723925735059499602153064,2764796251072978251932927,-40870516013478649779863
22650050,2735462511855784637829692,2766708361944987445260360,-31245850089202807430668
22651875,2735462511855784637829692,2770206467812615364542566,-34743955956830726712874
22653700,2735462511855784637829692,2766174921927554844189032,-30712410071770206359340
22655525,2735462511855784637829692,2766274460488268513730327,-30811948632483875900635
22657350,2729469116843632756099901,2766252727442616897386059,-36783610598984141286158
22659175,2729469116843632756099901,2766282621233490140887323,-36813504389857384787422
22661000,2729469116843632756099901,2766303037784462486403486,-36833920940829730303585
22662825,2729469116843632756099901,2766907910195322059629193,-37438793351689303529292
22664650,2730856868522830778190294,2769253655628830306295612,-38396787105999528105318
22666475,2730856868522830778190294,2769491474612410094011780,-38634606089579315821486
22668300,2730856868522830778190294,2770886504806182116974531,-40029636283351338784237
22670125,2730856868522830778190294,2766009655247536813012530,-35152786724706034822236
22671950,2703491357973384485334121,2761612129661094553999044,-58120771687710068664923
22673775,2703491357973384485334121,2761598662775939478507672,-58107304802554993173551
22675600,2703491357973384485334121,2761611944168696319666388,-58120586195311834332267
22677425,2703491357973384485334121,2770807893010634496323517,-67316535037250010989396
22679250,2679963027729036574390088,2770884802008771909212293,-90921774279735334822205
22681075,2679963027729036574390088,2772553539591940510887519,-92590511862903936497431
22682900,2679963027729036574390088,2773794393961333117962603,-93831366232296543572515
22684725,2679963027729036574390088,2779822952550324676568659,-99859924821288102178571
22686550,2693117543060262105588480,2770206021742761195270922,-77088478682499089682442
22688375,2693117543060262105588480,2766224010935677740436553,-73106467875415634848073
22690200,2693117543060262105588480,2767329826252616332649320,-74212283192354227060840
22692025,2693117543060262105588480,2767316696208003004312301,-74199153147740898723821
22693850,2690263550107455322450539,2767773518295980512266213,-77509968188525189815674
22695675,2690263550107455322450539,2767943112242655057661880,-77679562135199735211341
22697500,2690263550107455322450539,2767953387648182821099831,-77689837540727498649292
22699325,2690263550107455322450539,2768124038525622023280461,-77860488418166700829922
22701150,2704279781062334201625962,2768098780665375646963150,-63818999603041445337188
22702975,2704279781062334201625962,2763661712091393066147371,-59381931029058864521409
22704800,2704279781062334201625962,2763657733356551848268880,-59377952294217646642918
